GDPDeflat,CPIRate,UnemployRate,InflationRate,PCED,FedFundsRate,RateChange,RateChangeInd
42.86,80.1,6.3,14.8,42.4,17.19,,1
43.8,82.7,7.6,14.4,43.44,9.47,-7.72,0
44.81,84,7.5,12.6,44.45,10.87,1.4,1
46.05,86.3,7.2,12.5,45.55,18.9,8.03,1
47.2,88.5,7.4,10.5,46.68,14.7,-4.2,0
48.08,90.6,7.5,9.6,47.45,19.1,4.4,1
48.95,93.2,7.6,11,48.23,15.87,-3.23,0
49.86,94,8.5,8.9,48.96,12.37,-3.5,0
50.56,94.5,9,6.8,49.58,14.68,2.31,1
51.17,97,9.6,7.1,50.06,14.15,-0.53,0
51.91,97.9,10.1,5,50.84,10.31,-3.84,0
52.48,97.6,10.8,3.8,51.4,8.95,-1.36,0
52.91,97.9,10.3,3.6,51.85,8.77,-0.18,0
53.26,99.5,10.1,2.6,52.33,8.98,0.21,1
53.82,100.7,9.2,2.9,53.02,9.45,0.47,1
54.22,101.3,8.3,3.8,53.37,9.47,0.02,1
54.8,102.6,7.8,4.8,53.95,9.91,0.44,1
55.26,103.7,7.2,4.2,54.47,11.06,1.15,1
55.71,105,7.3,4.3,54.9,11.3,0.24,1
56.08,105.3,7.3,3.9,55.24,8.38,-2.92,0
56.72,106.4,7.2,3.7,55.9,8.58,0.2,1
57.08,107.6,7.4,3.8,56.37,7.53,-1.05,0
57.41,108.3,7.1,3.1,56.82,7.92,0.39,1
57.74,109.3,7,3.8,57.21,8.27,0.35,1
58.02,108.8,7.2,2.3,57.62,7.48,-0.79,0
58.25,109.5,7.2,1.8,57.55,6.92,-0.56,0
58.49,110.2,7,1.8,57.85,5.89,-1.03,0
58.81,110.5,6.6,1.1,58.19,6.91,1.02,1
59.24,112.1,6.6,3,58.81,6.13,-0.78,0
59.64,113.5,6.2,3.7,59.37,6.73,0.6,1
60.07,115,5.9,4.4,59.93,7.22,0.49,1
60.57,115.4,5.7,4.4,60.46,6.77,-0.45,0
61.04,116.5,5.7,3.9,60.93,6.58,-0.19,0
61.63,118,5.4,4,61.6,7.51,0.93,1
62.36,119.8,5.4,4.2,62.36,8.19,0.68,1
62.86,120.5,5.3,4.4,62.98,8.76,0.57,1
63.55,122.3,5,5,63.69,9.85,1.09,1
64.21,124.1,5.3,5.2,64.54,9.53,-0.32,0
64.67,125,5.3,4.3,64.91,9.02,-0.51,0
65.12,126.1,5.4,4.6,65.42,8.45,-0.57,0
65.84,128.7,5.2,5.2,66.35,8.28,-0.17,0
66.52,129.9,5.2,4.7,66.95,8.29,0.01,1
67.11,132.7,5.9,6.2,67.79,8.2,-0.09,0
67.62,133.8,6.3,6.1,68.68,7.31,-0.89,0
68.3,135,6.8,4.9,69.02,6.12,-1.19,0
68.76,136,6.9,4.7,69.38,5.9,-0.22,0
69.27,137.2,6.9,3.4,69.85,5.45,-0.45,0
69.64,137.9,7.3,3.1,70.35,4.43,-1.02,0
69.94,139.3,7.4,3.2,70.78,3.98,-0.45,0
70.39,140.2,7.8,3.1,71.25,3.76,-0.22,0
70.72,141.3,7.6,3,71.71,3.22,-0.54,0
71.2,141.9,7.4,2.9,72.21,2.92,-0.3,0
71.61,143.6,7,3.1,72.64,3.07,0.15,1
72.04,144.4,7,3,73.13,3.04,-0.03,0
72.48,145.1,6.7,2.7,73.45,3.09,0.05,1
72.85,145.8,6.5,2.7,73.87,2.96,-0.13,0
